nu,CH4/x=3e-6/T=253K/P=.53atm/L=10000000cm
5952.38095,0.0
5952.39095,0.00332992398511
5952.40095,0.00354733906165
5952.41095,0.00395726173793
5952.42095,0.00461113609938
5952.43095,0.00553752530313
5952.44095,0.00672236284145
5952.45095,0.00807053088953
5952.46095,0.00924214557064
5952.47095,0.00976376985792
5952.48095,0.00965490243155
5952.49095,0.00939764987734
5952.50095,0.00915729870743
5952.51095,0.00864902936738
5952.52095,0.00770510773444
5952.53095,0.00655773414718
5952.54095,0.00554777684502
5952.55095,0.00485513163341
5952.56095,0.00451633138067
5952.57095,0.0045084540794
5952.58095,0.00473494196534
5952.59095,0.00493930074538
5952.60095,0.00479800375031
5952.61095,0.00426795504307
5952.62095,0.00362027004055
5952.63095,0.00308997345041
5952.64095,0.00273742406919
5952.65095,0.00254032242682
5952.66095,0.00247116456903
5952.67095,0.00251750878977
5952.68095,0.00267152810937
5952.69095,0.00289432904355
5952.70095,0.00308706119121
5952.71095,0.00316605097196
5952.72095,0.00318709658115
5952.73095,0.00329423969518
5952.74095,0.00357354697194
5952.75095,0.00398060525123
5952.76095,0.00432035929546
5952.77095,0.00437214507108
5952.78095,0.00415323305375
5952.79095,0.00390635077114
5952.80095,0.00383143184871
5952.81095,0.00400188991241
5952.82095,0.00443776509028
5952.83095,0.00513922506127
5952.84095,0.00603759840007
5952.85095,0.00692590125133
5952.86095,0.00754083243178
5952.87095,0.00781849983614
5952.88095,0.0079337933538
5952.89095,0.0080225895201
5952.90095,0.00802139034023
5952.91095,0.0077919200954
5952.92095,0.00735787230734
5952.93095,0.00691697697878
5952.94095,0.00660095026815
5952.95095,0.00638403375152
5952.96095,0.00619576460892
5952.97095,0.00601522493381
5952.98095,0.00590199307168
5952.99095,0.00595741145541
5953.00095,0.00621463852226
5953.01095,0.00655993761561
5953.02095,0.00679014400208
5953.03095,0.00684115910991
5953.04095,0.00688783979809
5953.05095,0.00715029441439
5953.06095,0.00770224541183
5953.07095,0.00838555905478
5953.08095,0.00883250071229
5953.09095,0.00875107546973
5953.10095,0.00823015501815
5953.11095,0.00757945489448
5953.12095,0.00699329740368
5953.13095,0.00652037247117
5953.14095,0.00617435208022
5953.15095,0.00597329721559
5953.16095,0.00595197918412
5953.17095,0.0061728692099
5953.18095,0.0067087108767
5953.19095,0.00759984966495
5953.20095,0.00887319918965
5953.21095,0.0106449070237
5953.22095,0.0130579543611
5953.23095,0.01582934154
5953.24095,0.0178398743709
5953.25095,0.0178470786621
5953.26095,0.0159434265945
5953.27095,0.0134127463021
5953.28095,0.0113243191857
5953.29095,0.00997173382514
5953.30095,0.0091045376948
5953.31095,0.00829442502237
5953.32095,0.00733279195447
5953.33095,0.00632393375889
5953.34095,0.00541021146758
5953.35095,0.00464941651516
5953.36095,0.00406654851009
5953.37095,0.00365639299173
5953.38095,0.00339156807668
5953.39095,0.00325336689932
5953.40095,0.00323995537217
5953.41095,0.00336381876381
5953.42095,0.00364030516867
5953.43095,0.00402396150251
5953.44095,0.00432504909483
5953.45095,0.0043107584737
5953.46095,0.00399089275177
5953.47095,0.00360933690018
5953.48095,0.00336399530566
5953.49095,0.00331457410724
5953.50095,0.00342970441076
5953.51095,0.00359577063776
5953.52095,0.0036593552095
5953.53095,0.00356769249377
5953.54095,0.00341492421202
5953.55095,0.00333645238513
5953.56095,0.00342072765892
5953.57095,0.00368563284488
5953.58095,0.00408030524403
5953.59095,0.00449834147025
5953.60095,0.00479622584473
5953.61095,0.0048667077915
5953.62095,0.004766045217
5953.63095,0.00465597632739
5953.64095,0.00460672867983
5953.65095,0.00452602209354
5953.66095,0.00427541340712
5953.67095,0.00387339936993
5953.68095,0.00348072073854
5953.69095,0.00320989186242
5953.70095,0.00307553059845
5953.71095,0.00305176172999
5953.72095,0.00311057433005
5953.73095,0.00323329436051
5953.74095,0.00342289721696
5953.75095,0.00371468958044
5953.76095,0.00416126000349
5953.77095,0.00479290098633
5953.78095,0.00554552429238
5953.79095,0.00621493155158
5953.80095,0.00663607790709
5953.81095,0.0069283280434
5953.82095,0.00734960582207
5953.83095,0.0080249779576
5953.84095,0.0089087422436
5953.85095,0.00982549691885
5953.86095,0.0105905286542
5953.87095,0.0112607655116
5953.88095,0.0122013991852
5953.89095,0.0138247005697
5953.90095,0.0162307540874
5953.91095,0.0188306074299
5953.92095,0.0203402045642
5953.93095,0.0198871023848
5953.94095,0.0180683645123
5953.95095,0.0161541047743
5953.96095,0.0148367784298
5953.97095,0.0140463676584
5953.98095,0.0134199599514
5953.99095,0.0128029033692
5954.00095,0.0123511439135
5954.01095,0.0123392068821
5954.02095,0.0130141567663
5954.03095,0.0145277872915
5954.04095,0.0168708124454
5954.05095,0.0197497870408
5954.06095,0.0225727062551
5954.07095,0.0247366325446
5954.08095,0.0257862002169
5954.09095,0.025294223172
5954.10095,0.0232421251428
5954.11095,0.0204367614285
5954.12095,0.0179620139456
5954.13095,0.0164438492556
5954.14095,0.0159264345923
5954.15095,0.0160119191143
5954.16095,0.0160744021536
5954.17095,0.0157508181944
5954.18095,0.0152796180945
5954.19095,0.0150318258239
5954.20095,0.0147934558203
5954.21095,0.0139201676976
5954.22095,0.0122750648931
5954.23095,0.0103897368547
5954.24095,0.00875395503898
5954.25095,0.00752555746553
5954.26095,0.00667409172581
5954.27095,0.0061059444062
5954.28095,0.00571899696048
5954.29095,0.00545245526427
5954.30095,0.00530698403696
5954.31095,0.00530828771896
5954.32095,0.00547944107203
5954.33095,0.00584422693287
5954.34095,0.00643797139303
5954.35095,0.00732996102764
5954.36095,0.00861714805654
5954.37095,0.0102535543711
5954.38095,0.0117491375722
5954.39095,0.0123319487769
5954.40095,0.0118753141052
5954.41095,0.0111389052477
5954.42095,0.0108049981769
5954.43095,0.0108612997677
5954.44095,0.0107955776838
5954.45095,0.0102673356314
5954.46095,0.00951740023417
5954.47095,0.00895002747301
